Rank ID Cosine_Similarity Relevant
472 33217 0.05390799894058951 1
1148 41268 0.040048757757766174 0
1279 2645 0.0385012996049808 0
1588 52878 0.03542609429722697 0
1777 2963 0.03410987041174584 1
2110 26022 0.03190087340552725 1
2449 46026 0.03011075142043055 1
4309 28394 0.02416633801596556 1
5292 18081 0.022079458501453736 0
5592 14355 0.02152277867123853 0
5803 12273 0.02118161412144613 0
6066 17913 0.020765549886751597 1
6178 31611 0.02058411748353288 0
6311 33890 0.02039117970151646 0
9478 20108 0.016586971200625862 1
9702 4323 0.01639840682038166 0
10228 33410 0.015914065827417764 1
10508 13723 0.015650545678441007 0
10573 26454 0.015586818096140206 1
11564 34813 0.014769833358449436 1
11639 8464 0.014703477743426872 1
12753 53259 0.013809548558219774 0
13094 52389 0.01350221629583683 0
13356 52310 0.013301570454595702 1
13770 19989 0.012992267142670029 0
13935 466 0.012860176059775474 1
14563 2001 0.012326043017910779 1
14604 49669 0.012294732713808616 1
14654 44165 0.012254371862242196 1
14775 47560 0.012141795950844447 0
14818 1660 0.012099283663264182 0
15156 51265 0.011800194634342315 0
15574 10027 0.0114148352578681 0
16745 40961 0.009996100830419399 0
16955 48621 0.00963389197479134 0
17397 40981 0.00881937965548324 0
17401 39147 0.008801387684658803 0
